Founded Year | Company                                  | Headquarters                       
1914         | Honeywell Aerospace                      | Phoenix, Arizona                   
1916         | A. O. Smith                              | Milwaukee, Wisconsin               
1916         | Boeing                                   | Arlington, Virginia                
1917         | Alliant Energy                           | Madison, Wisconsin                 
1917         | Parker Hannifin                          | Cleveland, Ohio                    
1917         | Phillips 66                              | Houston, Texas                     
1917         | S&P Global                               | New York City, New York            
1919         | American International Group             | New York City, New York            
1919         | Aon plc                                  | London, United Kingdom             
1919         | Cummins                                  | Columbus, Indiana                  
1919         | Halliburton                              | Houston, Texas                     
1919         | Hilton Worldwide                         | Tysons Corner, Virginia            
1920         | Occidental Petroleum                     | Houston, Texas                     
1920         | PPL Corporation                          | Allentown, Pennsylvania            
1920         | Snap-on                                  | Kenosha, Wisconsin                 
1921         | Newmont                                  | Denver, Colorado                   
1922         | RTX Corporation                          | Waltham, Massachusetts             
1923         | Ecolab                                   | Saint Paul, Minnesota              
1923         | Hasbro                                   | Pawtucket, Rhode Island            
1923         | Textron                                  | Providence, Rhode Island           
1923         | Walt Disney Company (The)                | Burbank, California                
1923         | West Pharmaceutical Services             | Exton, Pennsylvania                
1925         | Caterpillar Inc.                         | Irving, Texas                      
1925         | Erie Indemnity                           | Erie, Pennsylvania                 
1925         | Genuine Parts Company                    | Atlanta, Georgia                   
1925         | NextEra Energy                           | Juno Beach, Florida                
1926         | Schlumberger                             | Houston, Texas                     
1927         | Arthur J. Gallagher & Co.                | Rolling Meadows, Illinois          
1927         | Marriott International                   | Bethesda, Maryland                 
1927         | W. W. Grainger                           | Lake Forest, Illinois              
1927         | Zimmer Biomet                            | Warsaw, Indiana                    
1929         | Cintas                                   | Mason, Ohio                        
1929         | Delta Air Lines                          | Atlanta, Georgia                   
1929         | Masco                                    | Livonia, Michigan                  
1930         | Ametek                                   | Berwyn, Pennsylvania               
1930         | Texas Instruments                        | Dallas, Texas                      
1931         | Allstate                                 | Northbrook, Illinois               
1931         | Baxter International                     | Deerfield, Illinois                
1932         | Amphenol                                 | Wallingford, Connecticut           
1932         | Henry Schein                             | Melville, New York                 
1934         | Old Dominion                             | Thomasville, North Carolina        
1934         | Smurfit Westrock                         | Dublin, Ireland                    
1935         | Avery Dennison                           | Mentor, Ohio                       
1935         | Invesco                                  | Atlanta, Georgia                   
1935         | Monster Beverage                         | Corona, California                 
1935         | Morgan Stanley                           | New York City, New York            
1935         | Nordson Corporation                      | Westlake, Ohio                     
1935         | Tyson Foods                              | Springdale, Arkansas               
1937         | Progressive Corporation                  | Mayfield Village, Ohio             
1937         | Revvity                                  | Waltham, Massachusetts             
1937         | T. Rowe Price                            | Baltimore, Maryland                
1938         | Darden Restaurants                       | Orlando, Florida                   
1938         | Tractor Supply                           | Brentwood, Tennessee               
1939         | Brown & Brown                            | Daytona Beach, Florida             
1939         | Dollar General                           | Goodlettsville, Tennessee          
1939         | Keysight Technologies                    | Santa Rosa, California             
1940         | Air Products                             | Upper Macungie Township, Pennsyl...
1940         | McDonald's                               | Chicago, Illinois                  
1940         | Nucor                                    | Charlotte, North Carolina          
1941         | Stryker Corporation                      | Kalamazoo, Michigan                
1945         | Constellation Brands                     | Rochester, New York                
1945         | Mettler Toledo                           | Columbus, Ohio                     
1945         | Southern Company                         | Atlanta, Georgia                   
1946         | CF Industries                            | Deerfield, Illinois                
1946         | Elevance Health                          | Indianapolis, Indiana              
1946         | Estée Lauder Companies (The)            | New York City, New York            
1947         | Charles River Laboratories               | Wilmington, Massachusetts          
1947         | Franklin Resources                       | San Mateo, California              
1947         | Jacobs Solutions                         | Dallas, Texas                      
1948         | Rollins, Inc.                            | Atlanta, Georgia                   
1949         | Automatic Data Processing                | Roseland, New Jersey               
1949         | Medtronic                                | Galway, Ireland                    
1950         | Cincinnati Financial                     | Fairfield, Ohio                    
1951         | Iron Mountain                            | Portsmouth, New Hampshire          
1952         | Zoetis                                   | Parsippany, New Jersey             
1953         | NXP Semiconductors                       | Eindhoven, Netherlands             
1954         | APA Corporation                          | Houston, Texas                     
1954         | Lennar                                   | Miami, Florida                     
1955         | Aflac                                    | Columbus, Georgia                  
1955         | Dover Corporation                        | Downers Grove, Illinois            
1956         | Fair Isaac                               | Bozeman, Montana                   
1956         | PulteGroup                               | Atlanta, Georgia                   
1956         | Williams-Sonoma, Inc.                    | San Francisco, California          
1957         | O’Reilly Automotive                    | Springfield, Missouri              
1958         | Cooper Companies (The)                   | San Ramon, California              
1958         | Edwards Lifesciences                     | Irvine, California                 
1958         | Kimco Realty                             | Jericho, New York                  
1958         | Visa Inc.                                | San Francisco, California          
1958         | Waters Corporation                       | Milford, Massachusetts             
1959         | Generac                                  | Waukesha, Wisconsin                
1959         | Loews Corporation                        | New York City, New York            
1959         | Packaging Corporation of America         | Lake Forest, Illinois              
1960         | Domino's                                 | Ann Arbor, Michigan                
1960         | Teledyne Technologies                    | Thousand Oaks, California          
1960         | Teradyne                                 | North Reading, Massachusetts       
1961         | Broadcom                                 | Palo Alto, California              
1961         | Humana                                   | Louisville, Kentucky               
1961         | J.B. Hunt                                | Lowell, Arkansas                   
1961         | Viatris                                  | Pittsburgh, Pennsylvania           
1962         | Broadridge Financial Solutions           | Lake Success, New York             
1962         | Federal Realty Investment Trust          | Rockville, Maryland                
1962         | Raymond James Financial                  | St. Petersburg, Florida            
1962         | Walmart                                  | Bentonville, Arkansas              
1963         | Comcast                                  | Philadelphia, Pennsylvania         
1963         | Regency Centers                          | Jacksonville, Florida              
1964         | Nike, Inc.                               | Washington County, Oregon          
1965         | Analog Devices                           | Wilmington, Massachusetts          
1966         | Best Buy                                 | Richfield, Minnesota               
1966         | Eversource Energy                        | Hartford, Connecticut              
1966         | Jabil                                    | St. Petersburg, Florida            
1966         | Mastercard                               | Harrison, New York                 
1966         | Norwegian Cruise Line Holdings           | Miami-Dade County, Florida[3]      
1966         | Pentair                                  | Worsley, United Kingdom            
1966         | Tyler Technologies                       | Plano, Texas                       
1967         | Applied Materials                        | Santa Clara, California            
1967         | Casey's                                  | Ankeny, Iowa                       
1967         | Fastenal                                 | Winona, Minnesota                  
1967         | Quest Diagnostics                        | Secaucus, New Jersey               
1967         | Ralph Lauren Corporation                 | New York City, New York            
1967         | Southwest Airlines                       | Dallas, Texas                      
1967         | United Airlines Holdings                 | Chicago, Illinois                  
1967         | W. R. Berkley Corporation                | Greenwich, Connecticut             
1968         | Fidelity National Information Services   | Jacksonville, Florida              
1968         | HCA Healthcare                           | Nashville, Tennessee               
1968         | Intel                                    | Santa Clara, California            
1968         | U.S. Bancorp                             | Minneapolis, Minnesota             
1968         | Waste Management                         | Houston, Texas                     
1969         | Advanced Micro Devices                   | Santa Clara, California            
1969         | Danaher Corporation                      | Washington, D.C.                   
1969         | Equity Residential                       | Chicago, Illinois                  
1969         | Flex Ltd.                                | Austin, Texas                      
1969         | Leidos                                   | Reston, Virginia                   
1969         | MSCI Inc.                                | New York City, New York            
1969         | Realty Income                            | San Diego, California              
1969         | Sysco                                    | Houston, Texas                     
1969         | Zebra Technologies                       | Lincolnshire, Illinois             
1970         | BXP, Inc.                                | Boston, Massachusetts              
1970         | CRH plc                                  | Dublin, Ireland                    
1970         | Welltower                                | Toledo, Ohio                       
1970         | Western Digital                          | San Jose, California               
1971         | Cardinal Health                          | Dublin, Ohio                       
1971         | Charles Schwab Corporation               | Westlake, Texas                    
1971         | Coherent Corp.                           | Saxonburg, Pennsylvania            
1971         | Devon Energy                             | Oklahoma City, Oklahoma            
1971         | Essex Property Trust                     | San Mateo, California              
1971         | FedEx                                    | Memphis, Tennessee                 
1971         | Nasdaq, Inc.                             | New York City, New York            
1971         | Paychex                                  | Penfield, New York                 
1971         | Regions Financial Corporation            | Birmingham, Alabama                
1971         | Starbucks                                | Seattle, Washington                
1971         | Verisk Analytics                         | Jersey City, New Jersey            
1972         | Carnival Corporation                     | Miami, Florida                     
1972         | Public Storage                           | Glendale, California               
1972         | UDR, Inc.                                | Highlands Ranch, Colorado          
1973         | Cboe Global Markets                      | Chicago, Illinois                  
1973         | Deckers Brands                           | Goleta, California                 
1973         | Everest Group                            | Hamilton, Bermuda                  
1975         | Microsoft                                | Redmond, Washington                
1976         | Bio-Techne                               | Minneapolis, Minnesota             
1976         | Costco                                   | Issaquah, Washington               
1976         | Jack Henry & Associates                  | Monett, Missouri                   
1976         | KKR & Co.                                | New York City, New York            
1977         | Apple Inc.                               | Cupertino, California              
1977         | Ares Management                          | Los Angeles, California            
1977         | Extra Space Storage                      | Salt Lake City, Utah               
1977         | Interactive Brokers                      | Greenwich, Connecticut             
1977         | Mid-America Apartment Communities        | Memphis, Tennessee                 
1977         | Oracle Corporation                       | Austin, Texas                      
1977         | UnitedHealth Group                       | Eden Prairie, Minnesota            
1978         | AvalonBay Communities                    | Arlington, Virginia                
1978         | Biogen                                   | Cambridge, Massachusetts           
1978         | D. R. Horton                             | Arlington, Texas                   
1978         | FactSet                                  | Norwalk, Connecticut               
1978         | Home Depot (The)                         | Atlanta, Georgia                   
1978         | Labcorp                                  | Burlington, North Carolina         
1978         | Micron Technology                        | Boise, Idaho                       
1978         | Trimble Inc.                             | Westminster, Colorado              
1979         | AutoZone                                 | Memphis, Tennessee                 
1979         | Boston Scientific                        | Marlborough, Massachusetts         
1979         | DaVita                                   | Denver, Colorado                   
1979         | Expeditors International                 | Seattle, Washington                
1979         | Gartner                                  | Stamford, Connecticut              
1979         | Seagate Technology                       | Dublin, Ireland                    
1979         | Universal Health Services                | King of Prussia, Pennsylvania      
1980         | Amgen                                    | Thousand Oaks, California          
1980         | CSX Corporation                          | Jacksonville, Florida              
1980         | Lam Research                             | Fremont, California                
1980         | NVR, Inc.                                | Reston, Virginia                   
1980         | Norfolk Southern                         | Atlanta, Georgia                   
1980         | Valero Energy                            | San Antonio, Texas                 
1981         | AES Corporation                          | Arlington, Virginia                
1981         | Camden Property Trust                    | Houston, Texas                     
1981         | Keurig Dr Pepper                         | Burlington, Massachusetts          
1981         | Republic Services                        | Phoenix, Arizona                   
1981         | Roper Technologies                       | Sarasota, Florida                  
1982         | Adobe Inc.                               | San Jose, California               
1982         | Autodesk                                 | San Francisco, California          
1982         | Cigna                                    | Bloomfield, Connecticut            
1982         | Copart                                   | Dallas, Texas                      
1982         | Electronic Arts                          | Redwood City, California           
1982         | FedEx Freight                            | Memphis, Tennessee                 
1982         | Gen Digital                              | Tempe, Arizona                     
1982         | IQVIA                                    | Durham, North Carolina             
1982         | Ross Stores                              | Dublin, California                 
1983         | Dominion Energy                          | Richmond, Virginia                 
1983         | Idexx Laboratories                       | Westbrook, Maine                   
1983         | Intuit                                   | Mountain View, California          
1983         | Prologis                                 | San Francisco, California          
1984         | CDW Corporation                          | Vernon Hills, Illinois             
1984         | Centene Corporation                      | St. Louis, Missouri                
1984         | Cisco                                    | San Jose, California               
1984         | Fiserv                                   | Brookfield, Wisconsin              
1985         | Altria                                   | Richmond, Virginia                 
1985         | Blackstone Inc.                          | New York City, New York            
1985         | Cencora                                  | Conshohocken, Pennsylvania         
1985         | Chubb Limited                            | Zurich, Switzerland                
1985         | Healthpeak Properties                    | Denver, Colorado                   
1985         | PTC Inc.                                 | Boston, Massachusetts              
1985         | Pinnacle West Capital                    | Phoenix, Arizona                   
1985         | Qualcomm                                 | San Diego, California              
1985         | Steris                                   | Dublin, Ireland                    
1986         | Dollar Tree                              | Chesapeake, Virginia               
1986         | MGM Resorts                              | Paradise, Nevada                   
1986         | Omnicom Group                            | New York City, New York            
1986         | Synopsys                                 | Sunnyvale, California              
1987         | CoStar Group                             | Washington, D.C.                   
1987         | Gilead Sciences                          | Foster City, California            
1987         | TJX Companies                            | Framingham, Massachusetts          
1988         | BlackRock                                | New York City, New York            
1988         | Cadence Design Systems                   | San Jose, California               
1988         | IDEX Corporation                         | Northbrook, Illinois               
1988         | Las Vegas Sands                          | Las Vegas, Nevada                  
1988         | Regeneron Pharmaceuticals                | Tarrytown, New York                
1988         | Sandisk                                  | Milpitas, California               
1989         | Accenture                                | Dublin, Ireland                    
1989         | Expand Energy                            | Oklahoma City, Oklahoma            
1989         | Garmin                                   | Schaffhausen, Switzerland          
1989         | Microchip Technology                     | Chandler, Arizona                  
1989         | ResMed                                   | San Diego, California              
1989         | SBA Communications                       | Boca Raton, Florida                
1989         | Vertex Pharmaceuticals                   | Boston, Massachusetts              
1990         | Apollo Global Management                 | New York City, New York            
1990         | Ulta Beauty                              | Bolingbrook, Illinois              
1991         | Incyte                                   | Wilmington, Delaware               
1992         | Ciena                                    | Hanover, Maryland                  
1992         | NRG Energy                               | Houston, Texas                     
1992         | NetApp                                   | San Jose, California               
1993         | Axon Enterprise                          | Scottsdale, Arizona                
1993         | Charter Communications                   | Stamford, Connecticut              
1993         | Chipotle Mexican Grill                   | Newport Beach, California          
1993         | Host Hotels & Resorts                    | Bethesda, Maryland                 
1993         | Martin Marietta Materials                | Raleigh, North Carolina            
1993         | Nvidia                                   | Santa Clara, California            
1993         | Steel Dynamics                           | Fort Wayne, Indiana                
1993         | Supermicro                               | San Jose, California               
1993         | Take-Two Interactive                     | New York City, New York            
1993         | TransDigm Group                          | Cleveland, Ohio                    
1994         | Albemarle Corporation                    | Charlotte, North Carolina          
1994         | Alexandria Real Estate Equities          | Pasadena, California               
1994         | Amazon                                   | Seattle, Washington                
1994         | Aptiv                                    | Schaffhausen, Switzerland          
1994         | Capital One                              | Tysons Corner, Virginia            
1994         | Cognizant                                | Teaneck, New Jersey                
1994         | Crown Castle                             | Houston, Texas                     
1994         | Emcor                                    | Norwalk, Connecticut               
1994         | GE HealthCare                            | Chicago, Illinois                  
1994         | Northrop Grumman                         | West Falls Church, Virginia[2]     
1994         | T-Mobile US                              | Bellevue, Washington               
1995         | American Tower                           | Boston, Massachusetts              
1995         | Arch Capital Group                       | Hamilton, Bermuda                  
1995         | DTE Energy                               | Detroit, Michigan                  
1995         | Intuitive Surgical                       | Sunnyvale, California              
1995         | Lockheed Martin                          | Bethesda, Maryland                 
1995         | Marvell Technology                       | Santa Clara, California            
1995         | Verisign                                 | Reston, Virginia                   
1995         | eBay Inc.                                | San Jose, California               
1996         | Booking Holdings                         | Norwalk, Connecticut               
1996         | CVS Health                               | Woonsocket, Rhode Island           
1996         | Expedia Group                            | Seattle, Washington                
1996         | F5, Inc.                                 | Seattle, Washington                
1997         | Align Technology                         | Tempe, Arizona                     
1997         | Comfort Systems USA                      | Houston, Texas                     
